timestamp,temp_Main,temp_banana,ambient_temp,moisture_score,folder_path,notes,temp_fungo,Super_Mix,watered
2026-04-11 18:30,20.5,,19.5,3,20260411,"Avviato il trattamento nel contenitore nero (denominato "Main"): stratificato letame bovino; sovescio e paglia a mo' di sandwich; coprendo sia il fondo sia la parte superiore con foglie di nespolo come filtro protettivo naturale per garantire la corretta aerazione e prevenire contaminazioni esterne.",,,
2026-04-12 19:30,18.2,,16.5,3,20260412,,,,
2026-04-13 19:00,17.6,,15.0,3,20260413,,,,
2026-04-14 19:00,16.5,,13.0,2,20260414,"Avviato un secondo contenitore sperimentale (separato dal contenitore Main) basato su letame e bucce di banana fresche sminuzzate. Successivamente;a causa del calo dell'umidità (livello 2) nel contenitore Main;ho inserito l'acqua tiepida per ottimizzare la decomposizione.",,,1
2026-04-15 19:00,17.2,16.5,15.5,3,20260415,,,,
2026-04-16 19:00,22.4,25.5,21.0,3,20260416,,,,
2026-04-17 19:00,26.8,25.8,21.0,2,20260417,,,,
2026-04-18 19:00,29.4,26.6,23.0,3,20260418,"Versare acqua calda nel contenitore del letame con la banana e mescolare aerando.",,,1
2026-04-19 19:30,25.1,25.0,19,3,20260419,,,,
2026-04-20 19:00,27.8,29.1,21.0,3,20260420,,,,
2026-04-21 19:00,20.9,21.3,15.0,3,20260421,"Avviato un terzo contenitore sperimentale (separato dal contenitore Main) basato su letame e sovescio verde fresco sminuzzato e funghi saprofiti nativi (Coprinellus micaceus) nati spontaneamente nel mio giardino.",20.5,,              
2026-04-22 19:00,22.0,24.0,16.0,3,,,23.6,,
2026-04-23 14:00,30.9,34.7,19.0,3,,,32.8,,
2026-04-24 19:00,31.0,32.6,22.0,3,,,35.6,,
2026-04-25 19:00,36.5,39.4,24.0,3,,,39.7,,
2026-04-26 19:00,37.4,39.8,24.0,3,,,40.1,,
